year,date,travellerType,arrivals
2019,01-Jan-19,total air arrivals,239800
2019,02-Jan-19,total air arrivals,273200
2019,03-Jan-19,total air arrivals,287400
2019,04-Jan-19,total air arrivals,290400
2019,05-Jan-19,total air arrivals,288100
2019,06-Jan-19,total air arrivals,307400
2019,07-Jan-19,total air arrivals,265800
2019,08-Jan-19,total air arrivals,217700
2019,09-Jan-19,total air arrivals,203900
2019,10-Jan-19,total air arrivals,222900
2019,11-Jan-19,total air arrivals,241300
2019,12-Jan-19,total air arrivals,229900
2019,13-Jan-19,total air arrivals,252400
2019,14-Jan-19,total air arrivals,219500
2019,15-Jan-19,total air arrivals,176900
2019,16-Jan-19,total air arrivals,177800
2019,17-Jan-19,total air arrivals,210000
2019,18-Jan-19,total air arrivals,233500
2019,19-Jan-19,total air arrivals,211800
2019,20-Jan-19,total air arrivals,235300
2019,21-Jan-19,total air arrivals,215900
2019,22-Jan-19,total air arrivals,175200
2019,23-Jan-19,total air arrivals,175000
2019,24-Jan-19,total air arrivals,205700
2019,25-Jan-19,total air arrivals,233100
2019,26-Jan-19,total air arrivals,213800
2019,27-Jan-19,total air arrivals,251000
2019,28-Jan-19,total air arrivals,220600
2019,29-Jan-19,total air arrivals,175800
2019,30-Jan-19,total air arrivals,175700
2019,31-Jan-19,total air arrivals,207400
2019,01-Feb-19,total air arrivals,229700
2019,02-Feb-19,total air arrivals,221500
2019,03-Feb-19,total air arrivals,250700
2019,04-Feb-19,total air arrivals,227100
2019,05-Feb-19,total air arrivals,182100
2019,06-Feb-19,total air arrivals,176000
2019,07-Feb-19,total air arrivals,214300
2019,08-Feb-19,total air arrivals,243900
2019,09-Feb-19,total air arrivals,231700
2019,10-Feb-19,total air arrivals,262300
2019,11-Feb-19,total air arrivals,239900
2019,12-Feb-19,total air arrivals,192400
2019,13-Feb-19,total air arrivals,184200
2019,14-Feb-19,total air arrivals,217400
2019,15-Feb-19,total air arrivals,242200
2019,16-Feb-19,total air arrivals,236100
2019,17-Feb-19,total air arrivals,264500
2019,18-Feb-19,total air arrivals,248800
2019,19-Feb-19,total air arrivals,217000
2019,20-Feb-19,total air arrivals,222800
2019,21-Feb-19,total air arrivals,270800
2019,22-Feb-19,total air arrivals,292100
2019,23-Feb-19,total air arrivals,295600
2019,24-Feb-19,total air arrivals,311200
2019,25-Feb-19,total air arrivals,287300
2019,26-Feb-19,total air arrivals,237500
2019,27-Feb-19,total air arrivals,220300
2019,28-Feb-19,total air arrivals,258600
2019,01-Mar-19,total air arrivals,277900
2019,02-Mar-19,total air arrivals,259600
2019,03-Mar-19,total air arrivals,281700
2019,04-Mar-19,total air arrivals,261200
2019,05-Mar-19,total air arrivals,214900
2019,06-Mar-19,total air arrivals,208800
2019,07-Mar-19,total air arrivals,249100
2019,08-Mar-19,total air arrivals,269500
2019,09-Mar-19,total air arrivals,250100
2019,10-Mar-19,total air arrivals,274500
2019,11-Mar-19,total air arrivals,263400
2019,12-Mar-19,total air arrivals,216800
2019,13-Mar-19,total air arrivals,207400
2019,14-Mar-19,total air arrivals,258100
2019,15-Mar-19,total air arrivals,280000
2019,16-Mar-19,total air arrivals,257400
2019,17-Mar-19,total air arrivals,284500
2019,18-Mar-19,total air arrivals,265500
2019,19-Mar-19,total air arrivals,219100
2019,20-Mar-19,total air arrivals,214300
2019,21-Mar-19,total air arrivals,251200
2019,22-Mar-19,total air arrivals,278500
2019,23-Mar-19,total air arrivals,255900
2019,24-Mar-19,total air arrivals,284800
2019,25-Mar-19,total air arrivals,264700
2019,26-Mar-19,total air arrivals,221700
2019,27-Mar-19,total air arrivals,215200
2019,28-Mar-19,total air arrivals,252900
2019,29-Mar-19,total air arrivals,275300
2019,30-Mar-19,total air arrivals,251000
2019,31-Mar-19,total air arrivals,251900
2019,01-Apr-19,total air arrivals,256000
2019,02-Apr-19,total air arrivals,215800
2019,03-Apr-19,total air arrivals,210300
2019,04-Apr-19,total air arrivals,246300
2019,05-Apr-19,total air arrivals,290900
2019,06-Apr-19,total air arrivals,257300
2019,07-Apr-19,total air arrivals,298400
2019,08-Apr-19,total air arrivals,283900
2019,09-Apr-19,total air arrivals,263000
2019,10-Apr-19,total air arrivals,278500
2019,11-Apr-19,total air arrivals,308000
2019,12-Apr-19,total air arrivals,336100
2019,13-Apr-19,total air arrivals,324900
2019,14-Apr-19,total air arrivals,336100
2019,15-Apr-19,total air arrivals,329700
2019,16-Apr-19,total air arrivals,317800
2019,17-Apr-19,total air arrivals,320700
2019,18-Apr-19,total air arrivals,332200
2019,19-Apr-19,total air arrivals,333200
2019,20-Apr-19,total air arrivals,321300
2019,21-Apr-19,total air arrivals,337700
2019,22-Apr-19,total air arrivals,336600
2019,23-Apr-19,total air arrivals,347100
2019,24-Apr-19,total air arrivals,323800
2019,25-Apr-19,total air arrivals,320900
2019,26-Apr-19,total air arrivals,334500
2019,27-Apr-19,total air arrivals,311800
2019,28-Apr-19,total air arrivals,330400
2019,29-Apr-19,total air arrivals,322600
2019,30-Apr-19,total air arrivals,294800
2019,01-May-19,total air arrivals,275700
2019,02-May-19,total air arrivals,285900
2019,03-May-19,total air arrivals,298100
2019,04-May-19,total air arrivals,271200
2019,05-May-19,total air arrivals,303500
2019,06-May-19,total air arrivals,343600
2019,07-May-19,total air arrivals,309900
2019,08-May-19,total air arrivals,282500
2019,09-May-19,total air arrivals,289400
2019,10-May-19,total air arrivals,329300
2019,11-May-19,total air arrivals,305300
2019,12-May-19,total air arrivals,329500
2019,13-May-19,total air arrivals,318400
2019,14-May-19,total air arrivals,292200
2019,15-May-19,total air arrivals,256000
2019,16-May-19,total air arrivals,306400
2019,17-May-19,total air arrivals,333100
2019,18-May-19,total air arrivals,311400
2019,19-May-19,total air arrivals,333000
2019,20-May-19,total air arrivals,323000
2019,21-May-19,total air arrivals,294700
2019,22-May-19,total air arrivals,294200
2019,23-May-19,total air arrivals,311700
2019,24-May-19,total air arrivals,334300
2019,25-May-19,total air arrivals,315400
2019,26-May-19,total air arrivals,327300
2019,27-May-19,total air arrivals,352400
2019,28-May-19,total air arrivals,339900
2019,29-May-19,total air arrivals,351000
2019,30-May-19,total air arrivals,364200
2019,31-May-19,total air arrivals,371700
2019,01-Jun-19,total air arrivals,367700
2019,02-Jun-19,total air arrivals,388800
2019,03-Jun-19,total air arrivals,344000
2019,04-Jun-19,total air arrivals,342800
2019,05-Jun-19,total air arrivals,336600
2019,06-Jun-19,total air arrivals,346700
2019,07-Jun-19,total air arrivals,363100
2019,08-Jun-19,total air arrivals,355100
2019,09-Jun-19,total air arrivals,364300
2019,10-Jun-19,total air arrivals,355500
2019,11-Jun-19,total air arrivals,338500
2019,12-Jun-19,total air arrivals,336800
2019,13-Jun-19,total air arrivals,348700
2019,14-Jun-19,total air arrivals,367800
2019,15-Jun-19,total air arrivals,354500
2019,16-Jun-19,total air arrivals,371900
2019,17-Jun-19,total air arrivals,366200
2019,18-Jun-19,total air arrivals,344100
2019,19-Jun-19,total air arrivals,347600
2019,20-Jun-19,total air arrivals,360400
2019,21-Jun-19,total air arrivals,366600
2019,22-Jun-19,total air arrivals,357400
2019,23-Jun-19,total air arrivals,374400
2019,24-Jun-19,total air arrivals,372500
2019,25-Jun-19,total air arrivals,345400
2019,26-Jun-19,total air arrivals,346400
2019,27-Jun-19,total air arrivals,369800
2019,28-Jun-19,total air arrivals,378600
2019,29-Jun-19,total air arrivals,371100
2019,30-Jun-19,total air arrivals,387600
2019,01-Jul-19,total air arrivals,377200
2019,02-Jul-19,total air arrivals,363200
2019,03-Jul-19,total air arrivals,359100
2019,04-Jul-19,total air arrivals,360900
2019,05-Jul-19,total air arrivals,370800
2019,06-Jul-19,total air arrivals,352800
2019,07-Jul-19,total air arrivals,377400
2019,08-Jul-19,total air arrivals,370600
2019,09-Jul-19,total air arrivals,358800
2019,10-Jul-19,total air arrivals,349300
2019,11-Jul-19,total air arrivals,362800
2019,12-Jul-19,total air arrivals,376700
2019,13-Jul-19,total air arrivals,366400
2019,14-Jul-19,total air arrivals,381500
2019,15-Jul-19,total air arrivals,378800
2019,16-Jul-19,total air arrivals,356000
2019,17-Jul-19,total air arrivals,345700
2019,18-Jul-19,total air arrivals,348600
2019,19-Jul-19,total air arrivals,360200
2019,20-Jul-19,total air arrivals,356600
2019,21-Jul-19,total air arrivals,375800
2019,22-Jul-19,total air arrivals,362500
2019,23-Jul-19,total air arrivals,328700
