"Title","OS visits to UK :Earnings: £ Millions-(Cur.Price-SA)"
"CDID","GMAZ"
"Source dataset ID","OTT"
"PreUnit","£"
"Unit","m"
"Release date","28-02-2020"
"Next release","To be announced"
"Important notes",
"1986","5550"
"1987","6260"
"1988","6200"
"1989","6950"
"1990","7740"
"1991","7390"
"1992","7892"
"1993","9487"
"1994","9630"
"1995","11720"
"1996","12260"
"1997","12240"
"1998","12740"
"1999","12550"
"2000","12750"
"2001","11400"
"2002","11700"
"2003","11850"
"2004","12970"
"2005","14320"
"2006","15900"
"2007","16000"
"2008","16350"
"2009","17599"
"2010","17803"
"2011","18897"
"2012","19676"
"2013","22163"
"2014","23354"
"2015","23898"
"2016","25343"
"2017","28176"
"2018","26691"
"2019","28358"
"1986 Q1","1360"
"1986 Q2","1350"
"1986 Q3","1420"
"1986 Q4","1420"
"1987 Q1","1500"
"1987 Q2","1580"
"1987 Q3","1630"
"1987 Q4","1550"
"1988 Q1","1540"
"1988 Q2","1540"
"1988 Q3","1520"
"1988 Q4","1600"
"1989 Q1","1720"
"1989 Q2","1660"
"1989 Q3","1730"
"1989 Q4","1840"
"1990 Q1","2010"
"1990 Q2","1910"
"1990 Q3","1920"
"1990 Q4","1900"
"1991 Q1","1650"
"1991 Q2","1830"
"1991 Q3","1860"
"1991 Q4","2050"
"1992 Q1","2013"
"1992 Q2","2012"
"1992 Q3","1841"
"1992 Q4","2026"
"1993 Q1","2324"
"1993 Q2","2273"
"1993 Q3","2504"
"1993 Q4","2386"
"1994 Q1","2350"
"1994 Q2","2390"
"1994 Q3","2630"
"1994 Q4","2260"
"1995 Q1","2840"
"1995 Q2","2830"
"1995 Q3","3010"
"1995 Q4","3040"
"1996 Q1","3000"
"1996 Q2","3060"
"1996 Q3","3080"
"1996 Q4","3120"
"1997 Q1","3000"
"1997 Q2","2990"
"1997 Q3","3110"
"1997 Q4","3140"
"1998 Q1","3120"
"1998 Q2","3210"
"1998 Q3","3120"
"1998 Q4","3290"
"1999 Q1","3300"
"1999 Q2","3040"
"1999 Q3","3080"
"1999 Q4","3130"
"2000 Q1","3110"
"2000 Q2","3310"
"2000 Q3","3180"
"2000 Q4","3150"
"2001 Q1","3280"
"2001 Q2","2810"
"2001 Q3","2840"
"2001 Q4","2470"
"2002 Q1","2750"
"2002 Q2","2890"
"2002 Q3","3010"
"2002 Q4","3050"
"2003 Q1","2930"
"2003 Q2","2740"
"2003 Q3","3040"
"2003 Q4","3140"
"2004 Q1","3010"
"2004 Q2","3230"
"2004 Q3","3300"
"2004 Q4","3430"
"2005 Q1","3590"
"2005 Q2","3530"
"2005 Q3","3390"
"2005 Q4","3810"
"2006 Q1","3720"
"2006 Q2","3940"
"2006 Q3","4110"
"2006 Q4","4130"
"2007 Q1","4050"
"2007 Q2","3820"
"2007 Q3","4010"
"2007 Q4","4120"
"2008 Q1","4160"
"2008 Q2","4200"
"2008 Q3","3990"
"2008 Q4","4000"
"2009 Q1","4470"
"2009 Q2","4240"
"2009 Q3","4500"
"2009 Q4","4400"
"2010 Q1","4320"
"2010 Q2","4510"
"2010 Q3","4250"
"2010 Q4","4730"
"2011 Q1","4650"
"2011 Q2","4670"
"2011 Q3","4760"
"2011 Q4","4820"
"2012 Q1","4720"
"2012 Q2","4860"
"2012 Q3","5170"
"2012 Q4","4920"
"2013 Q1","5240"
"2013 Q2","5560"
"2013 Q3","5700"
"2013 Q4","5660"
"2014 Q1","5710"
"2014 Q2","5750"
"2014 Q3","6020"
"2014 Q4","5880"
"2015 Q1","5890"
"2015 Q2","6070"
"2015 Q3","5730"
"2015 Q4","6200"
"2016 Q1","6100"
"2016 Q2","6320"
"2016 Q3","6230"
"2016 Q4","6700"
"2017 Q1","7030"
"2017 Q2","7010"
"2017 Q3","7630"
"2017 Q4","6520"
"2018 Q1","7150"
"2018 Q2","6850"
"2018 Q3","6340"
"2018 Q4","6350"
"2019 Q1","6590"
"2019 Q2","6790"
"2019 Q3","6990"
"2019 Q4","8000"
"2020 Q1","5970"
"1986 JAN","440"
"1986 FEB","480"
"1986 MAR","440"
"1986 APR","460"
"1986 MAY","460"
"1986 JUN","430"
"1986 JUL","450"
"1986 AUG","460"
"1986 SEP","510"
"1986 OCT","420"
"1986 NOV","540"
"1986 DEC","460"
"1987 JAN","530"
"1987 FEB","480"
"1987 MAR","490"
"1987 APR","490"
"1987 MAY","520"
"1987 JUN","570"
"1987 JUL","530"
"1987 AUG","550"
"1987 SEP","550"
"1987 OCT","530"
"1987 NOV","520"
"1987 DEC","500"
"1988 JAN","520"
"1988 FEB","500"
"1988 MAR","520"
"1988 APR","530"
"1988 MAY","490"
"1988 JUN","520"
"1988 JUL","500"
"1988 AUG","520"
"1988 SEP","500"
"1988 OCT","550"
"1988 NOV","520"
"1988 DEC","530"
"1989 JAN","540"
"1989 FEB","550"
"1989 MAR","630"
"1989 APR","550"
"1989 MAY","550"
"1989 JUN","560"
"1989 JUL","600"
"1989 AUG","550"
"1989 SEP","580"
"1989 OCT","590"
"1989 NOV","590"
"1989 DEC","660"
"1990 JAN","650"
"1990 FEB","710"
"1990 MAR","650"
"1990 APR","620"
"1990 MAY","640"
"1990 JUN","650"
"1990 JUL","650"
"1990 AUG","630"
"1990 SEP","640"
"1990 OCT","640"
"1990 NOV","650"
"1990 DEC","610"
"1991 JAN","560"
"1991 FEB","520"
"1991 MAR","570"
"1991 APR","590"
"1991 MAY","620"
"1991 JUN","620"
"1991 JUL","610"
"1991 AUG","620"
"1991 SEP","630"
"1991 OCT","640"
"1991 NOV","760"
"1991 DEC","650"
"1992 JAN","683"
"1992 FEB","676"
"1992 MAR","654"
"1992 APR","710"
"1992 MAY","677"
"1992 JUN","625"
"1992 JUL","585"
"1992 AUG","630"
"1992 SEP","626"
"1992 OCT","645"
"1992 NOV","677"
"1992 DEC","704"
"1993 JAN","732"
"1993 FEB","813"
"1993 MAR","779"
"1993 APR","792"
"1993 MAY","765"
"1993 JUN","716"
"1993 JUL","834"
"1993 AUG","841"
"1993 SEP","829"
"1993 OCT","812"
"1993 NOV","804"
"1993 DEC","770"
"1994 JAN","770"
"1994 FEB","780"
"1994 MAR","800"
"1994 APR","770"
"1994 MAY","830"
"1994 JUN","790"
"1994 JUL","820"
"1994 AUG","940"
"1994 SEP","870"
"1994 OCT","800"
"1994 NOV","670"
"1994 DEC","790"
"1995 JAN","980"
"1995 FEB","890"
"1995 MAR","970"
